layout,gset,dset,pmethod,n_process,time
DGZ,1,8,sweep,1,148.29
DGZ,1,8,sweep,2,79.08
DGZ,1,8,sweep,4,38.28
DGZ,1,8,sweep,8,21.82
DGZ,1,8,sweep,16,14.23
DGZ,1,8,sweep,32,9.36
DGZ,1,8,sweep,64,6.63
DGZ,1,8,sweep,128,5.86
DGZ,1,8,bj,1,149.41
DGZ,1,8,bj,2,80.63
DGZ,1,8,bj,4,37.51
DGZ,1,8,bj,8,20.84
DGZ,1,8,bj,16,12.92
DGZ,1,8,bj,32,7.78
DGZ,1,8,bj,64,4.56
DGZ,1,8,bj,128,3.28
DGZ,1,16,sweep,1,148.41
DGZ,1,16,sweep,2,81.50
DGZ,1,16,sweep,4,39.22
DGZ,1,16,sweep,8,21.29
DGZ,1,16,sweep,16,13.57
DGZ,1,16,sweep,32,8.49
DGZ,1,16,sweep,64,5.54
DGZ,1,16,sweep,128,4.36
DGZ,1,16,bj,1,150.83
DGZ,1,16,bj,2,80.59
DGZ,1,16,bj,4,38.34
DGZ,1,16,bj,8,21.36
DGZ,1,16,bj,16,13.48
DGZ,1,16,bj,32,8.19
DGZ,1,16,bj,64,5.04
DGZ,1,16,bj,128,3.53
DGZ,1,32,sweep,1,155.50
DGZ,1,32,sweep,2,80.79
DGZ,1,32,sweep,4,37.78
DGZ,1,32,sweep,8,22.44
DGZ,1,32,sweep,16,13.75
DGZ,1,32,sweep,32,8.62
DGZ,1,32,sweep,64,4.91
DGZ,1,32,sweep,128,3.52
DGZ,1,32,bj,1,152.38
DGZ,1,32,bj,2,83.02
DGZ,1,32,bj,4,39.26
DGZ,1,32,bj,8,22.06
DGZ,1,32,bj,16,14.57
DGZ,1,32,bj,32,9.31
DGZ,1,32,bj,64,5.37
DGZ,1,32,bj,128,4.00
DGZ,2,8,sweep,1,142.41
DGZ,2,8,sweep,2,74.00
DGZ,2,8,sweep,4,41.44
DGZ,2,8,sweep,8,19.88
DGZ,2,8,sweep,16,11.80
DGZ,2,8,sweep,32,8.26
DGZ,2,8,sweep,64,5.49
DGZ,2,8,sweep,128,4.04
DGZ,2,8,bj,1,144.14
DGZ,2,8,bj,2,74.26
DGZ,2,8,bj,4,40.46
DGZ,2,8,bj,8,19.78
DGZ,2,8,bj,16,11.66
DGZ,2,8,bj,32,7.80
DGZ,2,8,bj,64,4.84
DGZ,2,8,bj,128,3.28
DGZ,2,16,sweep,1,141.66
DGZ,2,16,sweep,2,74.60
DGZ,2,16,sweep,4,36.61
DGZ,2,16,sweep,8,19.98
DGZ,2,16,sweep,16,11.67
DGZ,2,16,sweep,32,7.78
DGZ,2,16,sweep,64,4.59
DGZ,2,16,sweep,128,3.43
DGZ,2,16,bj,1,148.33
DGZ,2,16,bj,2,77.32
DGZ,2,16,bj,4,37.37
DGZ,2,16,bj,8,20.36
DGZ,2,16,bj,16,12.34
DGZ,2,16,bj,32,8.48
DGZ,2,16,bj,64,5.12
DGZ,2,16,bj,128,3.90
DGZ,2,32,sweep,1,143.68
DGZ,2,32,sweep,2,74.60
DGZ,2,32,sweep,4,36.92
DGZ,2,32,sweep,8,19.85
DGZ,2,32,sweep,16,12.01
DGZ,2,32,sweep,32,7.40
DGZ,2,32,sweep,64,4.47
DGZ,2,32,sweep,128,3.22
DGZ,2,32,bj,1,149.29
DGZ,2,32,bj,2,78.08
DGZ,2,32,bj,4,38.70
DGZ,2,32,bj,8,21.42
DGZ,2,32,bj,16,13.76
DGZ,2,32,bj,32,9.58
DGZ,2,32,bj,64,6.29
DGZ,2,32,bj,128,4.88
DGZ,4,8,sweep,1,138.01
DGZ,4,8,sweep,2,71.22
DGZ,4,8,sweep,4,36.44
DGZ,4,8,sweep,8,19.68
DGZ,4,8,sweep,16,11.38
