layout,gset,dset,pmethod,n_process,time
DGZ,1,8,sweep,1,15.38
DGZ,1,8,bj,1,15.38
DGZ,1,16,sweep,1,15.37
DGZ,1,16,bj,1,15.41
DGZ,2,8,sweep,1,15.26
DGZ,2,8,bj,1,15.24
DGZ,2,16,sweep,1,15.29
DGZ,2,16,bj,1,15.38
DGZ,4,8,sweep,1,13.86
DGZ,4,8,bj,1,14.40
DGZ,4,16,sweep,1,14.11
DGZ,4,16,bj,1,14.97
DGZ,8,8,sweep,1,13.84
DGZ,8,8,bj,1,14.86
DGZ,8,16,sweep,1,14.01
DGZ,8,16,bj,1,16.37
DGZ,16,8,sweep,1,14.03
DGZ,16,8,bj,1,16.58
DGZ,16,16,sweep,1,14.03
DGZ,16,16,bj,1,17.67
DZG,1,8,sweep,1,16.30
DZG,1,8,bj,1,16.48
DZG,1,16,sweep,1,16.32
DZG,1,16,bj,1,16.28
DZG,2,8,sweep,1,17.11
DZG,2,8,bj,1,17.20
DZG,2,16,sweep,1,17.20
DZG,2,16,bj,1,17.38
DZG,4,8,sweep,1,17.72
DZG,4,8,bj,1,17.75
DZG,4,16,sweep,1,16.25
DZG,4,16,bj,1,16.77
DZG,8,8,sweep,1,20.51
DZG,8,8,bj,1,20.97
DZG,8,16,sweep,1,20.33
DZG,8,16,bj,1,21.50
DZG,16,8,sweep,1,23.29
DZG,16,8,bj,1,23.67
DZG,16,16,sweep,1,23.29
DZG,16,16,bj,1,23.72
DGZ,1,8,sweep,2,7.40
DGZ,1,8,bj,2,7.59
DGZ,1,16,sweep,2,4.24
DGZ,1,16,bj,2,4.02
DGZ,2,8,sweep,2,4.10
DGZ,2,8,bj,2,4.22
DGZ,2,16,sweep,2,4.26
DGZ,2,16,bj,2,4.24
DGZ,4,8,sweep,2,4.21
DGZ,4,8,bj,2,4.12
DGZ,4,16,sweep,2,4.05
DGZ,4,16,bj,2,4.20
DGZ,8,8,sweep,2,3.76
DGZ,8,8,bj,2,4.20
DGZ,8,16,sweep,2,4.07
DGZ,8,16,bj,2,4.22
DGZ,16,8,sweep,2,4.64
DGZ,16,8,bj,2,4.62
DGZ,16,16,sweep,2,3.19
DGZ,16,16,bj,2,4.82
DZG,1,8,sweep,2,4.59
DZG,1,8,bj,2,4.55
DZG,1,16,sweep,2,4.61
DZG,1,16,bj,2,4.83
DZG,2,8,sweep,2,4.89
DZG,2,8,bj,2,5.08
DZG,2,16,sweep,2,5.05
DZG,2,16,bj,2,4.82
DZG,4,8,sweep,2,5.12
DZG,4,8,bj,2,5.15
DZG,4,16,sweep,2,5.03
DZG,4,16,bj,2,6.24
DZG,8,8,sweep,2,7.43
DZG,8,8,bj,2,7.67
DZG,8,16,sweep,2,7.51
DZG,8,16,bj,2,7.87
DZG,16,8,sweep,2,7.91
DZG,16,8,bj,2,5.28
DZG,16,16,sweep,2,5.11
DZG,16,16,bj,2,5.32
DGZ,1,8,sweep,4,1.09
DGZ,1,8,bj,4,1.09
DGZ,1,16,sweep,4,0.92
DGZ,1,16,bj,4,0.93
DGZ,2,8,sweep,4,0.91
DGZ,2,8,bj,4,0.93
DGZ,2,16,sweep,4,0.92
DGZ,2,16,bj,4,0.95
DGZ,4,8,sweep,4,0.92
DGZ,4,8,bj,4,0.94
DGZ,4,16,sweep,4,0.94
DGZ,4,16,bj,4,0.95
DGZ,8,8,sweep,4,0.88
DGZ,8,8,bj,4,0.94
DGZ,8,16,sweep,4,0.92
DGZ,8,16,bj,4,1.05
DGZ,16,8,sweep,4,0.92
DGZ,16,8,bj,4,1.04
DGZ,16,16,sweep,4,0.91
DGZ,16,16,bj,4,1.19
DZG,1,8,sweep,4,1.04
DZG,1,8,bj,4,1.02
DZG,1,16,sweep,4,1.04
DZG,1,16,bj,4,0.96
DZG,2,8,sweep,4,0.99
DZG,2,8,bj,4,1.00
DZG,2,16,sweep,4,1.02
DZG,2,16,bj,4,1.04
DZG,4,8,sweep,4,1.07
DZG,4,8,bj,4,1.03
DZG,4,16,sweep,4,1.03
DZG,4,16,bj,4,1.11
DZG,8,8,sweep,4,1.26
DZG,8,8,bj,4,1.32
DZG,8,16,sweep,4,1.24
DZG,8,16,bj,4,1.40
DZG,16,8,sweep,4,1.50
DZG,16,8,bj,4,1.58
DZG,16,16,sweep,4,1.39
DZG,16,16,bj,4,1.59
