layout,gset,dset,pmethod,n_process,time
0,1,8,1,1,148.29
0,1,8,1,2,79.08
0,1,8,1,4,38.28
0,1,8,1,8,21.82
0,1,8,1,16,14.23
0,1,8,1,32,9.36
0,1,8,1,64,6.63
0,1,8,1,128,5.86
0,1,8,0,1,149.41
0,1,8,0,2,80.63
0,1,8,0,4,37.51
0,1,8,0,8,20.84
0,1,8,0,16,12.92
0,1,8,0,32,7.78
0,1,8,0,64,4.56
0,1,8,0,128,3.28
0,1,16,1,1,148.41
0,1,16,1,2,81.5
0,1,16,1,4,39.22
0,1,16,1,8,21.29
0,1,16,1,16,13.57
0,1,16,1,32,8.49
0,1,16,1,64,5.54
0,1,16,1,128,4.36
0,1,16,0,1,150.83
0,1,16,0,2,80.59
0,1,16,0,4,38.34
0,1,16,0,8,21.36
0,1,16,0,16,13.48
0,1,16,0,32,8.19
0,1,16,0,64,5.04
0,1,16,0,128,3.53
0,1,32,1,1,155.5
0,1,32,1,2,80.79
0,1,32,1,4,37.78
0,1,32,1,8,22.44
0,1,32,1,16,13.75
0,1,32,1,32,8.62
0,1,32,1,64,4.91
0,1,32,1,128,3.52
0,1,32,0,1,152.38
0,1,32,0,2,83.02
0,1,32,0,4,39.26
0,1,32,0,8,22.06
0,1,32,0,16,14.57
0,1,32,0,32,9.31
0,1,32,0,64,5.37
0,1,32,0,128,4.0
0,2,8,1,1,142.41
0,2,8,1,2,74.0
0,2,8,1,4,41.44
0,2,8,1,8,19.88
0,2,8,1,16,11.8
0,2,8,1,32,8.26
0,2,8,1,64,5.49
0,2,8,1,128,4.04
0,2,8,0,1,144.14
0,2,8,0,2,74.26
0,2,8,0,4,40.46
0,2,8,0,8,19.78
0,2,8,0,16,11.66
0,2,8,0,32,7.8
0,2,8,0,64,4.84
0,2,8,0,128,3.28
0,2,16,1,1,141.66
0,2,16,1,2,74.6
0,2,16,1,4,36.61
0,2,16,1,8,19.98
0,2,16,1,16,11.67
0,2,16,1,32,7.78
0,2,16,1,64,4.59
0,2,16,1,128,3.43
0,2,16,0,1,148.33
0,2,16,0,2,77.32
0,2,16,0,4,37.37
0,2,16,0,8,20.36
0,2,16,0,16,12.34
0,2,16,0,32,8.48
0,2,16,0,64,5.12
0,2,16,0,128,3.9
0,2,32,1,1,143.68
0,2,32,1,2,74.6
0,2,32,1,4,36.92
0,2,32,1,8,19.85
0,2,32,1,16,12.01
0,2,32,1,32,7.4
0,2,32,1,64,4.47
0,2,32,1,128,3.22
0,2,32,0,1,149.29
0,2,32,0,2,78.08
0,2,32,0,4,38.7
0,2,32,0,8,21.42
0,2,32,0,16,13.76
0,2,32,0,32,9.58
0,2,32,0,64,6.29
0,2,32,0,128,4.88
0,4,8,1,1,138.01
0,4,8,1,2,71.22
0,4,8,1,4,36.44
0,4,8,1,8,19.68
0,4,8,1,16,11.38
0,4,8,1,32,7.49
0,4,8,1,64,4.41
0,4,8,1,128,3.35
0,4,8,0,1,141.89
0,4,8,0,2,73.26
0,4,8,0,4,37.24
0,4,8,0,8,20.42
0,4,8,0,16,12.11
