RT1_I2,RT1_I1,U1_I1,VEC2,SCR1,RT2_I2,T2_I2a,VEC1,SCR2,RT2_I1,T1_I1a,U2_I1,T1_I2,T2_I2,T2_I1,T1_I1,U2_I2,T1_I2a,T2_I1a,U1_I2,start_time,end_time,compile_time,exe_time
8,8,22,True,True,1,1024,True,True,32,256,2,512,1,1,16,1,2048,2048,1,1572608645.961987,1572608704.191199,13.534133045669549,0.73695
1,32,9,False,True,1,256,False,True,8,1,1,64,32,1,16,9,1,64,1,1572608704.231488,1572608721.07975,3.0549360716094984,0.6889265
32,1,25,False,True,32,512,True,True,1,2048,1,512,16,16,1,5,2048,1024,1,1572608721.278818,1572608774.202895,37.579203033996585,0.7662835
1,8,1,False,False,1,2048,False,False,1,256,16,256,128,1,64,1,512,256,26,1572608774.346531,1572608790.943396,4.163339177154542,0.6210154999999999
1,32,9,False,False,1,2048,False,True,1,128,13,32,32,128,1,1,2048,256,1,1572608790.971502,1572608818.944778,1.562023899887084,0.6587105
1,32,1,False,True,1,512,True,False,8,256,1,64,512,1,256,29,1,64,21,1572608818.975413,1572608876.907593,41.55649592782593,0.8151345000000001
1,32,6,True,False,1,2048,True,False,8,512,1,32,256,64,128,9,1,64,1,1572608877.165442,1572608906.263286,2.497753123840333,0.66456
1,1,19,False,True,8,1024,True,False,1,512,1,128,64,16,256,17,512,128,1,1572608906.281863,1572608921.268849,1.217471921859742,0.6836525
8,1,1,False,False,1,64,True,False,32,512,1,1,32,64,16,10,128,64,22,1572608921.30873,1572608984.095265,8.530790024642947,0.663205
32,1,9,True,False,8,512,True,True,1,64,18,32,256,64,32,1,128,64,1,1572608984.142115,1572609026.649546,10.281265791854864,0.801829
1,1,25,False,False,8,1,False,True,8,512,6,16,512,256,256,1,1024,512,1,1572609026.689734,1572609101.018312,5.920914995300308,0.6759175
1,8,24,True,False,8,1024,False,False,1,256,1,128,16,128,16,10,2048,1,1,1572609101.039353,1572609114.35976,1.1791531521759033,0.6056254999999999
1,1,1,True,True,1,1024,False,True,1,1024,19,64,16,1,128,1,1024,512,15,1572609114.621544,1572609128.781447,1.0666490494689924,0.6518109999999999
8,1,1,True,True,8,64,True,False,8,256,27,256,1,256,32,1,1,2048,2,1572609128.800153,1572609159.486154,5.893955062393189,0.6168685
8,1,1,True,True,1,1024,True,True,32,2048,5,1,16,16,1,1,64,64,19,1572609159.488048,1572609173.143487,1.6270128999938969,0.6007705
1,32,1,True,True,1,1024,False,True,8,512,30,64,32,1,128,1,512,2048,28,1572609173.206902,1572609258.916904,69.0651459454956,0.8326884999999999
8,1,24,False,True,32,512,True,False,1,2048,1,32,128,64,32,17,256,1,1,1572609258.991033,1572609282.039246,7.564988005065919,0.7733375
1,8,1,False,True,1,1,True,True,32,256,1,128,128,1,256,24,256,64,14,1572609282.0752,1572609368.413908,51.332056923889155,0.8701274999999999
1,32,20,False,False,8,128,False,True,1,2048,1,64,32,64,1,27,1024,1024,1,1572609368.426026,1572609454.590051,5.587575829864505,0.6609750000000001
1,32,17,False,False,8,1024,False,True,1,512,12,256,512,16,256,1,256,512,1,1572609454.635679,1572609517.065772,5.039068050003053,0.707185
1,32,17,True,True,1,1024,False,False,8,2048,20,1,256,1,512,1,2048,2048,1,1572609517.203898,1572609548.724758,1.904086956741331,0.7368875
1,1,1,False,True,1,1024,True,True,8,2048,9,64,1,16,256,1,256,2048,12,1572609548.829426,1572609614.258924,3.4522559572296245,0.606767
1,8,1,True,True,8,2048,False,False,8,256,1,128,256,16,64,25,256,1024,1,1572609614.317561,1572609632.580211,5.852911012969971,0.617769
32,1,27,False,False,1,1,False,False,1,512,1,32,256,16,256,2,512,512,1,1572609632.686874,1572609657.349857,12.14769217909241,0.623316
8,1,21,False,True,1,2048,False,False,1,64,1,256,64,1,64,26,512,2048,1,1572609657.437598,1572609695.613185,5.651373938858029,0.8107425
8,1,11,True,False,32,256,False,True,1,1024,1,1,16,256,32,5,256,2048,1,1572609695.686282,1572609710.331708,2.4105970349273687,0.610574
