ACOPY_x,ACOPY_y,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,U1_I,T2_K,T2_J,T2_I,VEC2,VEC1,RT_I,SCR,RT_J,start_time,end_time,compile_time,exe_time
True,False,1,64,128,32,17,1,21,15,256,512,64,True,True,1,False,32,1572609756.761488,1572609780.491576,15.028920995529175,0.143893
False,True,1,256,1,128,1,18,7,25,1024,64,512,False,True,1,True,8,1572609780.495411,1572609788.180408,3.4655150817565916,0.104809
False,False,1,128,512,512,1,12,27,19,2048,2048,1024,True,False,8,False,1,1572609788.183123,1572609797.128738,5.342653414758301,0.08969055
True,True,8,128,256,64,30,1,14,25,64,1024,2048,False,True,8,False,1,1572609797.132598,1572609805.426662,4.275612644952393,0.09983755
True,True,1,32,256,32,1,21,22,6,64,2048,64,True,True,1,False,8,1572609805.435042,1572609819.866238,4.931974212768555,0.15590150000000003
False,False,1,32,16,1,22,1,11,9,256,2048,512,True,True,8,True,8,1572609819.871095,1572609829.297792,5.957720215762329,0.08402695
False,False,32,64,32,64,3,6,1,11,256,256,1,True,True,1,True,1,1572609829.304445,1572609833.76646,1.6588619135589604,0.1399245
True,False,1,128,512,1,10,1,24,2,128,1024,2048,True,True,1,False,8,1572609833.768132,1572609840.757624,4.216045939544678,0.134018
False,False,1,64,64,16,1,20,17,19,512,128,128,False,True,1,True,32,1572609840.761579,1572609854.32568,8.433835980758667,0.12662600000000002
True,False,1,64,1,32,7,1,21,7,1024,1024,1,False,True,1,True,8,1572609854.328461,1572609875.62928,8.828039158554075,0.1166315
True,False,1,64,64,512,28,1,18,17,1,1,512,True,False,1,True,8,1572609875.633531,1572609895.645268,9.698445869812012,0.126558
False,True,1,32,512,256,1,18,30,20,1024,1,2048,True,False,32,True,1,1572609895.648176,1572609910.254477,9.838261069259644,0.237866
True,False,1,128,128,32,1,15,17,6,2048,512,256,True,True,1,False,1,1572609910.264939,1572609916.517844,3.0065798919677738,0.162022
False,True,8,128,16,128,1,12,29,13,2048,256,128,False,True,1,True,8,1572609916.520416,1572609934.431848,7.223993027816771,0.265988
False,True,1,32,256,64,28,1,18,24,64,256,512,False,False,1,True,32,1572609934.440778,1572609951.010791,10.512363046264648,0.15073550000000002
False,False,1,1,64,32,14,1,28,1,256,128,64,True,False,8,False,8,1572609951.016491,1572609963.400875,7.703213155273437,0.115854
False,False,1,16,32,128,20,27,1,14,1,64,64,True,True,8,True,1,1572609963.406134,1572609977.75353,7.4308970353302,0.08498
False,False,1,256,256,1,4,14,1,18,2048,1024,512,False,True,1,True,8,1572609977.762479,1572609985.684052,2.4622909236602775,0.135717
False,False,8,256,64,64,1,1,27,26,512,2048,512,False,True,1,True,1,1572609985.688071,1572609994.813603,3.7738519118499756,0.132567
False,False,1,32,64,32,9,1,2,4,2048,1024,512,True,True,1,False,1,1572609994.823515,1572610044.153209,21.127203032669065,0.1422205
True,False,8,64,32,16,1,9,8,21,64,1,1024,False,False,1,False,1,1572610044.163893,1572610057.429922,4.918717119491578,0.1357465
True,False,1,256,32,128,1,15,7,18,512,128,256,True,False,1,False,8,1572610057.437232,1572610064.345039,2.838662973321533,0.10100200000000001
True,True,8,128,64,512,21,1,9,3,1024,1,512,False,False,1,True,8,1572610064.358805,1572610079.818654,6.150179119186401,0.1139165
True,True,1,32,256,128,27,1,5,6,128,256,1,True,False,1,False,1,1572610079.821167,1572610088.527524,3.1701870022583005,0.137903
False,False,1,256,512,256,1,10,13,9,1024,1024,2048,False,True,32,False,1,1572610088.529639,1572610097.665901,4.132022940002441,0.24933450000000001
True,True,8,512,32,32,1,27,14,11,64,64,2048,False,False,1,True,8,1572610097.682493,1572610106.368101,3.7910289101562498,0.12153649999999999
False,False,1,64,512,64,1,1,17,20,256,1024,128,False,False,1,False,32,1572610106.378853,1572610117.636508,5.558908905319214,0.141507
False,False,1,128,1,256,1,28,14,28,512,64,128,True,True,1,True,8,1572610117.638591,1572610126.480046,4.862293082757568,0.0985271
True,True,1,64,256,1,1,17,9,17,2048,1,512,False,False,1,True,32,1572610126.482686,1572610140.132479,5.513564909622193,0.13712049999999998
True,False,32,1,1,1,10,1,27,2,128,1024,1,True,False,1,True,1,1572610140.134955,1572610153.485123,9.996251989730835,0.167225
False,True,8,64,16,16,22,1,22,24,256,64,1,False,True,1,True,1,1572610153.496304,1572610161.963868,4.166346867568969,0.2143455
True,False,1,1,16,512,14,1,26,22,2048,1,128,True,False,1,True,32,1572610161.968304,1572610173.436419,9.281354091323852,0.1088775
True,True,1,32,512,128,1,8,21,22,2048,1024,1,True,False,1,False,1,1572610173.441348,1572610179.762493,2.8088768192596434,0.17544900000000002
False,True,8,32,16,32,1,22,4,21,2048,1024,256,True,True,1,True,1,1572610179.767594,1572610187.578941,3.088175007751465,0.11763599999999999
False,False,1,128,16,32,5,1,30,17,512,256,128,False,True,1,True,8,1572610187.58073,1572610201.283877,4.356272934509278,0.2323315
True,True,1,1,1,1,21,29,1,29,128,64,1,True,True,32,True,1,1572610201.285989,1572610222.558288,11.41819505128479,0.244933
False,True,1,128,128,512,22,1,8,27,1024,1024,2048,True,False,8,True,8,1572610222.561919,1572610234.595046,6.762781969473267,0.08685755
True,True,8,128,32,64,1,13,14,13,512,512,512,False,True,1,True,1,1572610234.599477,1572610245.130413,4.441431002731323,0.152121
True,False,1,1,64,16,1,13,22,19,1024,64,1024,True,True,1,True,8,1572610245.140764,1572610253.850809,3.445615099258423,0.130529
False,True,1,16,256,16,3,1,3,6,128,1024,512,False,True,1,False,1,1572610253.853242,1572610260.703057,1.9492901302337637,0.24476399999999998
False,True,1,16,1,1,18,1,4,28,1024,256,64,True,False,1,False,8,1572610260.706837,1572610276.609715,5.852312046035767,0.124056
False,False,1,128,512,32,25,4,1,24,1024,512,256,True,False,8,False,8,1572610276.611745,1572610285.563805,4.399246984207153,0.1128685
